Source_0,Source_1,Source_2,Source_3,Source_4,Source_5,Source_6,Source_7,Source_8,Source_9,Source_10,Source_11,Source_12,Source_13,Source_14,Source_15,Source_16,Source_17,Source_18,Source_19,Source_20,Source_21,Source_22,Source_23,Source_24,Source_25,Source_26,Source_27,Source_28,Source_29,class
-0.045074,-0.043929,-0.002232,-0.030659,-0.02917,0.005576,-0.011589,-0.057286,-0.075456,0.081839,0.017871,-0.000535,0.047339,0.064603,-0.006934,-0.055838,-0.009564,0.124322,0.123409,-0.089978,-0.118554,-0.01202,0.019571,0.080025,0.16938,0.020729,-0.085322,-0.107611,0.003764,0.152999,M
0.048224,-0.046951,0.038834,0.003042,0.050486,-0.043498,-0.019516,-0.005592,-0.033622,-0.00213,0.028085,0.045104,0.085505,-0.109272,-0.097172,0.046759,0.019918,-0.110046,-0.02804,-0.027317,0.008389,0.030887,-0.019013,0.003852,-0.032074,0.03349,-0.00097,-0.011525,-0.014911,-0.016942,M
-0.028076,0.056238,0.051776,0.020694,0.02262,-0.038976,0.049267,0.030272,0.025112,-0.042131,0.061079,0.026546,-0.017238,-0.064136,0.018847,-0.018403,0.062257,0.000886,0.036798,-0.039993,-0.019125,-0.001764,-0.014594,0.062098,-0.025061,-0.009678,-0.004806,0.024623,0.051916,-0.042298,M
-0.021535,0.17826,0.143689,-0.055532,-0.077426,-0.017377,-0.126306,0.055489,-0.080019,0.10499,0.036963,0.034854,0.100044,-0.01379,-0.006439,-0.161837,0.141687,-0.014173,0.029491,-0.070229,-0.046853,0.017672,-0.0666,0.082921,-0.00802,0.027045,0.110589,0.066139,0.046607,0.017485,M
0.006083,-0.059744,0.014812,0.027741,0.059234,-0.081634,0.018437,0.065345,-0.046365,-0.04002,-0.050869,-0.047062,0.019023,0.007527,-0.011706,-0.020497,-0.033227,-0.013076,-0.025156,0.014714,0.023944,-0.055605,0.001592,-0.039588,-0.03909,-0.001516,-0.095396,0.004997,-0.009023,0.012971,M
-0.033528,0.034096,0.016824,0.035657,0.015851,0.024269,-0.031132,0.017174,0.003967,0.008896,0.021977,-0.024891,-0.014427,-0.018433,0.033066,-0.075855,0.025887,0.018594,-0.001342,0.018188,-0.030609,-0.011976,-0.062776,0.025621,0.013834,0.001059,0.00627,0.018597,-0.013599,0.065794,M
0.005924,-0.053477,-0.051304,-0.032091,0.046441,-0.024296,-0.028217,-0.006893,-0.010048,-0.002383,-0.013549,0.050204,0.048228,-0.000567,-0.021809,0.02103,0.004834,-0.037115,0.020647,-0.016621,-0.043611,0.022001,-0.003342,-0.008001,-0.05533,0.000078,-0.00099,-0.021647,-0.047341,0.011528,M
-0.04352,-0.01008,0.04046,0.040774,-0.008999,0.021737,-0.083835,-0.038715,-0.075717,0.033896,0.035622,0.060358,-0.007915,-0.043886,-0.03772,-0.021323,0.000773,-0.047641,0.036795,0.010458,0.015606,0.019166,-0.002433,-0.050331,-0.018808,0.006893,-0.022046,0.007255,-0.009677,-0.010316,M
-0.084968,0.031557,0.012336,-0.009232,-0.033333,0.015959,0.012301,0.022064,0.016737,0.053701,0.034475,0.022249,-0.049878,-0.023216,0.063341,-0.042595,0.032377,0.077612,0.010202,0.009788,-0.033113,0.030113,-0.06728,0.031045,-0.031102,0.016797,-0.020991,-0.015245,0.027364,-0.025918,M
-0.03945,-0.024445,0.217304,0.263306,0.012171,0.134017,0.043866,-0.010242,0.053391,0.095641,0.036149,-0.072675,-0.078264,-0.015354,-0.041596,-0.049484,0.002382,-0.108306,-0.136269,-0.01646,0.000521,-0.014814,-0.029598,0.02135,0.011801,0.031143,0.045242,0.179473,-0.00649,0.132861,M
0.007279,-0.014381,0.009689,-0.025829,0.070484,0.047111,-0.03026,-0.018263,-0.002678,0.055586,0.013273,0.000619,0.025177,-0.014732,-0.017507,-0.019597,-0.038072,-0.047969,-0.003364,-0.031292,0.029691,0.000165,0.079733,0.001427,-0.015966,0.021487,0.012311,-0.003272,-0.025065,0.012685,M
-0.041324,0.028942,0.061013,-0.003257,0.026495,0.046474,-0.002835,0.053938,-0.024213,-0.016716,0.081868,-0.072273,0.007199,-0.054637,0.046244,0.034798,0.032202,0.025501,-0.003357,-0.021929,-0.044678,0.064777,-0.031454,-0.016056,0.019986,-0.080987,-0.008426,0.06462,-0.019235,0.057837,M
0.004883,0.055014,-0.108877,-0.018558,-0.240126,-0.07827,0.082884,-0.108261,-0.198326,0.125649,-0.002506,-0.071998,-0.069277,0.031307,0.086491,0.020379,0.164835,-0.265886,-0.158887,0.008778,0.068729,0.024425,0.166225,0.07832,-0.05929,-0.089326,-0.159683,-0.007823,-0.038946,0.046773,M
