@relation letter-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R17_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A16-N500-T1.0E-4

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Source_6 numeric
@attribute Source_7 numeric
@attribute Source_8 numeric
@attribute Source_9 numeric
@attribute Source_10 numeric
@attribute Source_11 numeric
@attribute Source_12 numeric
@attribute Source_13 numeric
@attribute Source_14 numeric
@attribute Source_15 numeric
@attribute class {A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z}

@data
0.003752,0.01021,-0.001934,0.00502,-0.00709,-0.002138,-0.002726,0.003537,-0.00233,0.000419,-0.001777,0.009469,-0.004745,-0.003228,-0.00705,0.000012,Z
-0.009036,-0.010361,-0.001662,-0.004557,0.003391,-0.002227,0.005783,0.009308,-0.000975,0.008965,-0.00209,-0.000946,0.001006,-0.000557,-0.007039,0.00028,P
-0.010094,-0.004791,0.000981,0.007838,-0.008185,0.004768,-0.012556,-0.006537,0.011819,0.009727,-0.00671,0.005224,-0.004156,0.009574,0.003446,-0.012804,S
-0.003676,-0.002717,0.003352,-0.007779,0.011078,0.001632,0.009295,-0.013979,0.001134,0.013463,0.000945,-0.003453,-0.000315,-0.010306,0.008608,-0.003874,H
-0.004504,-0.003862,0.001747,-0.001884,-0.003995,-0.006023,-0.006438,-0.005336,-0.007492,-0.005385,-0.005052,0.010834,0.000685,0.001109,0.002011,-0.003681,H
-0.006494,0.004132,0.008099,-0.001142,0.006815,-0.009406,-0.002926,0.00231,0.005813,0.007541,0.007004,0.00234,-0.009814,0.006771,-0.002792,0.002806,F
0.006073,-0.002136,0.011352,0.000667,0.00016,0.001916,-0.008791,-0.006093,-0.000122,-0.004318,-0.002277,-0.000446,-0.002689,0.009809,0.001401,-0.000004,N
0.001317,-0.00401,-0.002129,0.005496,0.000288,-0.011641,0.011146,0.009997,0.005784,0.012882,-0.004915,-0.000997,0.000887,-0.000312,0.003108,-0.011373,R
-0.004157,0.000072,0.007378,0.00449,-0.003852,0.004445,0.01341,-0.00613,-0.002675,-0.001317,-0.001493,0.005141,0.00564,0.016839,-0.003003,0.005458,M
0.003668,0.006982,-0.007143,-0.003447,0.000595,-0.007682,0.003953,-0.000967,0.004995,0.003925,0.004168,0.003917,0.005243,-0.001866,-0.008959,-0.010182,D
0.012965,-0.001493,0.00526,0.008431,0.014083,0.001961,0.001688,-0.003213,-0.006242,-0.011913,-0.01198,-0.003031,0.009162,-0.010426,-0.003016,0.010748,V
0.004008,0.008637,0.000635,0.001774,0.000799,0.009542,-0.002681,-0.005989,-0.008358,0.00616,-0.013827,-0.014996,-0.016175,-0.003744,0.005928,-0.001291,A
-0.000337,-0.008316,-0.004242,0.00455,0.001845,0.004682,0.007672,0.003992,0.003804,0.002215,-0.015858,-0.006849,0.003449,0.011216,-0.021144,-0.00125,K
0.002067,0.007528,0.002164,0.002716,-0.000275,-0.000625,0.003052,-0.007026,0.006375,-0.000012,-0.000621,-0.004153,-0.008322,-0.002001,-0.006473,0.00283,D
-0.004102,-0.011525,-0.002539,0.002556,-0.005695,0.000179,-0.002978,-0.004603,0.006472,0.000105,-0.007153,0.006926,-0.007416,0.011421,0.003158,-0.000511,S
-0.017165,-0.008023,0.006828,0.006414,-0.006427,0.00021,0.004594,-0.01507,-0.000249,0.002286,-0.003171,0.002901,-0.00512,0.009733,-0.004515,-0.002905,H
0.002356,-0.008613,-0.006695,-0.002407,-0.017169,0.004199,-0.016646,0.006353,-0.007581,0.012986,0.018537,0.011644,0.007156,-0.002305,0.012172,-0.002756,E
0.005945,0.008007,0.002,0.00385,-0.008623,-0.004735,-0.004597,0.002286,-0.003703,0.000607,-0.006304,0.010241,-0.00621,-0.006485,-0.00897,-0.001929,Z
-0.00319,-0.005611,0.003661,0.004873,0.002937,-0.001884,0.005622,-0.006245,0.003922,0.004624,-0.005669,0.002337,-0.001233,-0.009357,0.001197,-0.005377,O
-0.001532,-0.009929,-0.006306,0.004076,0.003895,0.003954,0.005304,0.003928,-0.010444,0.004899,0.011962,-0.005823,-0.001675,0.000513,0.0105,0.002034,Q
0.00992,-0.000818,0.002358,-0.005761,-0.004878,0.008025,-0.014785,-0.011787,0.003507,0.000022,-0.001649,-0.00451,-0.001319,-0.012641,0.000454,-0.007427,Q
0.000218,0.000506,-0.008903,-0.022061,-0.004646,-0.02005,-0.007383,-0.012749,0.011458,-0.002068,0.003549,-0.016172,0.020696,0.000326,-0.002912,0.014496,L
0.006547,0.000057,-0.001824,0.00757,0.015347,-0.007333,0.006147,0.003348,-0.007663,-0.007205,-0.004285,0.004612,0.010139,-0.002134,-0.003425,0.00316,V
0.005548,0.002145,-0.008041,0.010467,-0.006486,-0.003298,-0.005315,0.004355,0.00076,-0.006381,0.001652,0.001256,0.005973,-0.00118,-0.002586,-0.006767,X
-0.02673,-0.013876,0.000472,-0.006272,-0.002188,-0.001719,0.009619,-0.009752,-0.008818,-0.007662,0.016522,0.001181,0.002472,0.005415,-0.00917,-0.003815,V
-0.008367,0.003241,0.010132,0.005855,-0.01494,0.004482,0.02754,-0.011203,-0.003127,-0.000386,0.006137,-0.001498,-0.00259,0.014552,0.00216,0.005702,M
-0.005587,0.002995,-0.005863,-0.000359,0.001631,-0.010788,-0.000925,-0.000644,0.00006,-0.007205,0.008,0.014979,0.000393,0.001871,0.0023,0.011777,Y
-0.002484,0.010654,-0.000789,0.002028,-0.00074,-0.002046,0.000162,-0.00479,-0.00276,0.000286,0.000119,-0.003921,-0.004808,-0.001954,-0.006482,-0.003856,D
-0.004813,0.001791,0.002059,0.003607,-0.001918,0.007143,0.000872,-0.002121,0.001274,0.00109,-0.000173,-0.00231,0.007569,0.001745,-0.015904,0.002936,E
-0.005066,0.013799,0.008237,0.004473,-0.003346,-0.003046,-0.00282,-0.007748,0.004874,-0.008442,0.005719,-0.011626,-0.011402,-0.002639,0.004115,-0.010775,N
0.010836,0.000679,0.004254,-0.006885,-0.004768,-0.004353,-0.007382,-0.002024,-0.002461,-0.001485,-0.014173,-0.016444,-0.007972,-0.002597,0.008983,0.001879,A
-0.005145,0.0052,-0.007088,0.003381,-0.00075,-0.005506,0.003696,-0.007616,0.006349,-0.002074,0.002976,0.005182,0.003013,-0.003986,-0.004943,-0.003106,D
0.007132,-0.007049,-0.006311,0.004448,-0.006578,0.004519,0.004489,0.012163,0.003007,0.002506,-0.007778,-0.003257,-0.01181,-0.013055,0.0061,-0.000844,Z
0.007777,0.006838,0.012441,-0.001573,-0.000616,-0.00494,0.002993,0.00248,0.001442,0.000403,-0.002834,0.004567,0.002126,0.007242,-0.000302,-0.002744,N
0.014292,-0.000204,0.00256,-0.002874,0.000211,0.005771,-0.006174,0.002239,0.004081,-0.001098,-0.008847,-0.009388,-0.001921,-0.00213,0.002258,0.008466,X
0.000533,0.008615,0.008027,-0.007571,-0.002783,0.001527,0.007881,0.004037,-0.008048,-0.008125,0.012852,-0.002396,-0.00705,0.000136,-0.005735,0.011085,F
-0.007596,-0.001141,0.008463,0.000821,-0.004349,-0.001828,-0.004656,0.012417,0.014436,-0.006938,0.003619,-0.010021,0.012764,-0.003322,0.020452,-0.003362,N
0.012445,-0.005359,-0.008562,-0.024219,-0.008147,-0.022009,-0.019131,-0.019394,0.007921,0.001142,0.014556,-0.016885,0.014525,0.004144,-0.00632,0.005192,L
0.003704,0.006687,0.00794,-0.000172,-0.001291,-0.006265,-0.003197,-0.001872,0.000809,-0.008036,0.002606,0.0002,-0.003349,0.005447,-0.001812,-0.006236,N
0.004804,0.012929,0.000738,0.004667,-0.007934,-0.001265,-0.003842,0.008763,-0.002233,0.002901,-0.002533,0.005214,-0.002738,-0.002786,-0.007203,-0.003415,Z
-0.002206,0.003812,-0.009741,-0.00909,0.004442,-0.007593,0.004634,0.000253,-0.000622,-0.017192,-0.008989,0.011035,-0.003264,-0.011037,0.005852,0.009455,Y
-0.001869,0.007648,-0.008043,0.008555,0.005211,-0.008981,0.004348,-0.000473,-0.002641,0.004315,0.008009,-0.004242,0.008491,0.003706,0.003123,0.001022,I
-0.011184,0.001288,0.010577,-0.012783,0.000502,0.000166,0.007362,0.006865,0.000755,-0.014289,0.026087,-0.002234,-0.003229,0.006626,0.005181,0.006001,W
-0.001447,0.002449,0.000803,0.010503,0.002844,-0.002328,0.002305,0.000169,-0.002341,-0.000844,0.009445,0.004681,0.009868,0.001119,-0.000132,-0.00713,U
-0.00361,0.008514,-0.006043,-0.005596,0.004388,0.009428,-0.002568,0.011299,0.012649,-0.008493,-0.001312,-0.006852,0.000592,0.002918,0.009121,-0.005678,O
-0.00299,0.007676,0.003196,0.003438,0.006074,-0.01096,-0.000524,0.0012,0.005505,-0.000743,0.00946,0.008173,-0.007189,-0.004315,-0.002032,0.001281,T
0.00152,-0.002677,-0.003748,-0.001918,-0.008728,-0.007891,0.00414,-0.002526,-0.003778,0.000853,-0.004237,0.006367,-0.003639,-0.004289,0.003304,-0.003022,O
0.000685,-0.009087,-0.000681,-0.000238,0.006255,0.0001,0.009285,-0.005367,-0.012274,-0.001017,0.022961,-0.012816,-0.015882,0.002155,-0.005551,0.006846,P
-0.002133,0.009379,-0.00081,-0.003642,0.004669,-0.002053,0.002511,0.009736,-0.005573,0.009588,0.006725,0.010188,0.003271,0.004056,0.001282,-0.000812,C
0.001068,0.005099,0.002138,-0.011149,0.005114,0.005166,-0.005622,0.008047,-0.010942,0.001964,-0.001268,-0.000488,0.004391,-0.004981,-0.004275,-0.001165,G
-0.007044,-0.003228,-0.000878,-0.005052,0.000955,0.003742,0.013875,0.005227,-0.005495,-0.00628,0.002064,-0.006239,-0.00229,-0.003981,-0.013831,0.001683,B
-0.002536,-0.000812,0.000212,-0.001224,-0.006976,-0.001522,-0.00012,0.009232,-0.0021,0.003535,0.002427,0.001287,0.010433,0.003806,-0.002405,-0.003922,K
0.003165,-0.002502,0.007179,-0.010561,0.001996,-0.001396,-0.000522,0.005899,0.002671,-0.01023,0.009957,0.011825,-0.000669,0.016069,0.005456,-0.003102,W
0.001206,-0.004888,0.008351,0.019742,0.006975,-0.00151,0.002751,0.000278,0.001575,-0.005355,-0.005269,-0.003663,0.00903,-0.012338,0.000922,0.007252,V
-0.006211,-0.003045,0.016105,0.00555,0.003187,-0.006434,0.006525,0.005935,-0.000252,-0.006292,0.006197,-0.006737,0.002732,0.000116,0.002248,-0.001719,W
0.001518,-0.006067,0.001713,-0.005486,-0.006953,0.008469,0.007714,-0.002641,0.006334,0.003834,-0.006677,-0.004059,0.003272,0.006915,-0.011774,0.002313,H
-0.006994,0.0065,-0.008697,0.008816,-0.007847,0.010893,-0.007022,0.001301,0.004891,0.003652,0.009139,0.004889,0.000286,-0.001386,-0.00369,0.007695,Z
-0.000279,0.017154,-0.000304,0.006578,-0.002483,0.000017,-0.000491,0.00042,-0.008033,0.005603,0.002866,-0.002427,-0.002865,0.004702,0.005654,-0.000205,J
0.005027,0.007732,0.006602,-0.001258,0.006714,-0.011964,-0.001189,0.001651,0.004337,0.00675,-0.002627,0.003151,-0.012145,0.003078,-0.007308,-0.002215,F
-0.001716,-0.000994,0.001516,-0.003674,0.000711,0.001706,0.004535,-0.015398,0.00591,0.001285,0.001803,0.000509,-0.003716,-0.005913,-0.004913,0.001119,D
