Source_0,Source_1,Source_2,Source_3,Source_4,Source_5,Source_6,Source_7,Source_8,Source_9,Source_10,Source_11,Source_12,Source_13,Source_14,Source_15,class
0.010167,-0.00159,-0.001509,0.000289,0.000248,0.001755,-0.009963,0.001933,-0.004882,0.002902,0.003519,0.006314,0.001875,-0.007894,0.00426,-0.004498,Z
-0.004037,0.006179,0.001844,0.00447,0.003152,0.000459,-0.002564,0.011828,0.000144,0.001166,0.000343,-0.009376,0.004737,0.011194,0.003313,-0.001999,P
-0.002596,0.006708,-0.013668,-0.013946,0.006411,-0.00488,-0.014955,-0.006266,-0.007086,-0.009987,-0.009211,-0.005598,0.00162,0.000524,-0.001729,0.005989,S
0.001747,0.004537,0.008382,0.000872,0.001061,0.002958,0.012646,0.00044,0.000667,-0.00146,-0.013305,-0.006095,0.007329,0.003501,0.002271,0.018388,H
-0.001272,-0.006335,0.002032,-0.010933,-0.002359,0.004187,-0.005285,-0.000296,-0.000171,-0.003818,-0.006798,-0.001241,-0.003382,-0.001153,0.009159,-0.005979,H
0.006622,0.006129,-0.012345,0.005281,-0.006979,0.003037,0.002546,0.003313,-0.004486,-0.010848,0.002443,-0.001373,0.000303,0.005634,0.007463,0.002777,F
0.000184,-0.003251,-0.007136,-0.009426,-0.000498,-0.004069,0.005498,-0.009228,-0.004254,-0.002939,-0.000071,0.005835,-0.00598,0.005439,0.002213,-0.002168,N
0.002919,0.009983,-0.004152,0.002089,0.012485,0.002135,0.001053,0.015515,0.004132,-0.006489,-0.007956,-0.000102,0.008618,-0.000285,-0.00585,-0.003695,R
0.001523,-0.010976,0.003772,0.000573,-0.006418,-0.014739,-0.00288,0.004598,-0.00594,-0.008925,-0.004612,0.00443,-0.001345,0.010429,-0.006291,-0.002089,M
0.008598,0.003855,-0.003716,0.003707,0.000304,-0.00452,-0.00451,0.009002,0.011813,0.003859,-0.004947,0.001793,0.000111,-0.006397,0.004124,0.003271,D
0.002666,-0.021539,0.007458,-0.000151,0.011959,0.006287,0.010781,-0.005399,0.006728,0.007354,0.009249,0.00707,0.001829,0.0064,-0.001207,0.00009,V
-0.000221,0.009865,0.008521,0.003776,0.011176,0.008202,0.000831,-0.016584,-0.012193,0.002099,-0.003845,0.013661,-0.000483,0.003432,-0.001061,0.006746,A
-0.005162,-0.002361,-0.002242,0.00677,0.017194,-0.013996,-0.011306,0.007228,0.002052,0.003837,0.00277,0.00436,-0.001007,0.017582,0.000062,-0.001323,K
0.003274,-0.000747,-0.002724,0.00859,0.002718,-0.004883,0.0007,-0.004781,-0.003381,-0.002515,0.002063,0.007232,0.003152,-0.003089,0.005401,0.006601,D
-0.010819,-0.002406,-0.007407,-0.008014,0.004847,-0.003998,-0.006143,0.003584,-0.010374,-0.008332,-0.004599,-0.001504,-0.004994,0.000362,0.001745,0.001153,S
-0.005696,-0.002519,0.003243,-0.0052,-0.001166,-0.011871,-0.009487,-0.001716,-0.006586,-0.018202,-0.006932,-0.00144,0.004643,0.008375,0.007836,0.004516,H
