-0.385Source_10-0.376Source_13-0.372Source_5-0.343Source_14+0.314Source_2...,0.771Source_3-0.587Source_1-0.125Source_10-0.115Source_11-0.102Source_2...,'0.818Source_2+0.414Source_10+0.246Source_3-0.144Source_11+0.13 Source_4...',-0.552Source_1+0.463Source_12-0.438Source_11-0.431Source_3+0.168Source_0...,0.789Source_11+0.459Source_12+0.311Source_4-0.149Source_1+0.138Source_0...,0.814Source_4-0.447Source_7-0.282Source_12-0.14Source_10-0.132Source_11...,0.855Source_7+0.316Source_4-0.315Source_12-0.229Source_10+0.063Source_8...,0.555Source_6-0.508Source_12+0.394Source_10+0.268Source_0-0.214Source_1...,0.771Source_6-0.349Source_10-0.225Source_0+0.225Source_12+0.199Source_15...,0.934Source_15+0.227Source_0-0.179Source_6-0.129Source_8-0.103Source_10...,'0.689Source_8+0.67 Source_0-0.131Source_9-0.114Source_10+0.093Source_13...',0.727Source_9+0.536Source_8-0.375Source_0+0.125Source_15+0.106Source_11...,'-0.558Source_14-0.441Source_9-0.404Source_13+0.32 Source_8+0.277Source_10...','0.697Source_14-0.668Source_13-0.164Source_5+0.13 Source_10+0.086Source_4...',-0.876Source_5+0.389Source_13+0.176Source_14-0.145Source_9-0.126Source_0...,'-0.43Source_10+0.42 Source_2-0.401Source_1-0.33Source_3-0.261Source_9...',class
1.202834,-0.342956,-0.585997,-1.939377,0.35727,-1.015668,0.192125,0.40854,-0.651285,0.287845,0.13937,-0.121988,0.400649,-0.431349,-0.214015,-0.309369,Z
0.21101,0.438818,-0.621521,1.478803,0.325481,0.032348,1.281558,0.546077,0.408928,-0.346454,-1.433286,1.377559,0.429253,-0.580637,0.110474,0.316904,P
-0.868208,1.456506,-0.128268,-1.289769,-0.358173,-0.628601,-0.61,-1.191848,-0.902817,-1.618367,0.714556,2.220428,-1.717256,-1.072721,0.241646,1.212277,S
0.339112,-0.474211,0.123795,1.095606,-0.068047,2.356065,-1.307571,0.732939,0.663782,-0.829807,-0.504927,1.543051,-0.80901,1.809251,-0.725603,0.483716,H
0.075281,0.059118,-0.453099,-0.65587,0.930509,-0.370572,-0.798931,-0.381439,-0.708281,-0.126682,-0.836711,-0.714282,-0.507926,-0.141715,1.13771,1.578915,H
-0.082954,-0.825665,1.398303,-0.700236,-0.207921,0.800823,0.807288,0.617893,-0.723494,0.120184,-0.26968,1.85317,0.207379,-0.570553,1.497584,-0.224653,F
-0.248267,0.05091,1.34623,-0.154408,-0.130073,0.431251,-0.342791,-0.452036,-0.752799,0.55409,1.046038,-0.730979,-1.136446,-1.070631,0.398076,0.917758,N
1.408967,1.041548,-0.72203,0.673962,0.354602,-0.306225,1.300583,0.856521,0.81689,-1.75433,0.504895,1.380807,-0.659769,0.647478,1.220644,-0.770159,R
-0.488259,0.459207,1.087189,-0.363379,0.960922,-0.159731,-1.037892,0.57992,2.339416,0.385506,-0.319824,-0.151013,-0.652858,-2.069558,0.353605,-0.064213,M
0.976487,-1.000989,-1.04714,0.124212,0.653755,-0.124505,-0.645642,0.348716,-0.311729,-1.521629,0.591002,0.54823,1.006644,-0.34163,0.428573,-1.163923,D
1.633343,0.972813,0.427775,0.490843,1.257377,1.834281,0.313305,-1.312667,0.730553,1.775162,0.687465,-2.328341,0.888832,0.664371,-1.026887,0.186463,V
1.131265,0.057117,-0.464806,-1.108323,-2.867289,1.602662,0.453415,-0.20434,0.121261,0.425182,-0.024194,-0.530814,-2.094634,0.383937,-1.559242,0.309651,A
0.849124,1.589269,-1.241571,1.057552,-0.100207,0.554824,1.111936,-0.515866,1.459869,-0.31995,0.404316,0.324451,0.616836,-3.371432,-0.515427,0.015667,K
0.665432,-0.186581,0.284087,-1.034898,-1.162855,0.865088,-0.437511,0.448575,0.305457,0.293667,0.911948,0.452679,0.846757,-0.39218,-0.231828,-0.091955,D
-1.426202,1.381346,-0.785716,-0.651902,0.086751,-0.097071,-0.084404,0.141877,-0.013705,0.06053,0.621554,0.763298,-0.976346,-1.04822,1.039408,1.450171,S
-0.509892,1.621921,0.689783,-0.898768,-0.435366,0.435963,-1.683908,0.3995,0.894568,-0.75533,-1.181592,1.132446,-0.361581,-1.74249,0.811863,1.664914,H
-1.455401,0.193526,-0.361403,0.703131,1.082354,-3.393992,-1.052998,0.681314,-3.029061,0.217626,-0.959101,0.783451,-1.798315,1.29969,-0.541708,-0.732645,E
2.045709,-0.255718,-0.676006,-1.840941,0.34766,-0.96907,0.176947,0.473992,-1.014854,0.313189,0.301714,-0.258517,0.288434,-0.45069,-0.114877,0.54773,Z
0.913433,1.124993,-0.064258,-0.099977,0.38656,0.908434,-0.390893,0.274419,0.434871,-0.899474,0.109992,0.884734,0.113172,0.90689,-0.191724,1.060718,O
-1.417039,1.227655,0.252733,1.077437,-0.232888,0.268841,0.349447,1.262603,-0.128877,0.047977,-1.521518,-0.390099,-0.872571,1.186938,-0.324222,-1.356179,Q
0.536965,-0.388914,-0.306886,0.363742,-1.049325,0.14721,-1.480859,-0.758777,-2.064162,-0.219456,1.50321,-0.286762,-0.352126,0.77811,-1.737442,1.326001,Q
-0.086425,-2.037145,-1.181104,3.367181,-1.262965,-0.298923,-2.693624,-2.081403,0.157996,1.924351,0.776072,0.878267,1.880099,0.342593,2.451536,-0.586414,L
1.132441,0.536747,-0.098278,0.284901,2.187041,1.299937,0.695232,-0.543805,0.617928,0.364798,-0.300287,-1.642542,0.862457,0.253797,0.561579,-1.040333,V
0.347273,0.96352,-0.630675,-0.553783,0.302604,-1.422466,-0.094021,-0.740571,-0.798604,-0.738676,0.735156,-1.050304,0.646568,0.016074,0.236581,-1.082114,X
