@relation letter-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N16-R42-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute K11 numeric
@attribute K12 numeric
@attribute K13 numeric
@attribute K14 numeric
@attribute K15 numeric
@attribute K16 numeric
@attribute class {A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z}

@data
24.248711,12.124356,12.124356,29.444864,-25.980762,17.320508,-25.980762,5.196152,-17.320508,-29.444864,0,-1.732051,13.856406,27.712813,-41.569219,3.464102,Z
39.837169,13.856406,27.712813,41.569219,-46.765372,10.392305,-22.51666,8.660254,-8.660254,-36.373067,10.392305,-10.392305,12.124356,38.105118,-36.373067,8.660254,P
43.30127,17.320508,8.660254,45.033321,-53.693575,34.641016,-32.908965,12.124356,-19.052559,-43.30127,6.928203,-15.588457,19.052559,36.373067,-34.641016,6.928203,S
43.30127,-6.928203,31.176915,36.373067,-48.497423,-3.464102,-20.78461,12.124356,-12.124356,-45.033321,12.124356,-39.837169,15.588457,36.373067,-32.908965,6.928203,H
32.908965,12.124356,22.51666,41.569219,-39.837169,19.052559,-31.176915,8.660254,-24.248711,-45.033321,1.732051,-13.856406,13.856406,25.980762,-39.837169,6.928203,H
22.51666,10.392305,19.052559,29.444864,-38.105118,22.51666,-31.176915,8.660254,-20.78461,-38.105118,6.928203,-12.124356,12.124356,38.105118,-43.30127,5.196152,F
32.908965,15.588457,27.712813,41.569219,-51.961524,20.78461,-31.176915,13.856406,-25.980762,-58.889727,10.392305,-24.248711,13.856406,32.908965,-38.105118,6.928203,N
22.51666,-5.196152,25.980762,32.908965,-17.320508,-0,-15.588457,0,-3.464102,-13.856406,5.196152,-8.660254,13.856406,31.176915,-36.373067,1.732051,R
29.444864,15.588457,31.176915,41.569219,-51.961524,20.78461,-27.712813,10.392305,-25.980762,-51.961524,6.928203,-22.51666,8.660254,27.712813,-29.444864,12.124356,M
24.248711,-8.660254,17.320508,27.712813,-17.320508,-3.464102,-15.588457,1.732051,-5.196152,-17.320508,1.732051,-13.856406,12.124356,22.51666,-34.641016,1.732051,D
22.51666,5.196152,32.908965,34.641016,-36.373067,0,-15.588457,8.660254,-6.928203,-53.693575,13.856406,-20.78461,10.392305,27.712813,-38.105118,1.732051,V
38.105118,17.320508,22.51666,38.105118,-53.693575,32.908965,-29.444864,13.856406,-17.320508,-41.569219,0,-19.052559,31.176915,39.837169,-39.837169,5.196152,A
38.105118,19.052559,22.51666,43.30127,-51.961524,25.980762,-20.78461,8.660254,-5.196152,-38.105118,8.660254,-8.660254,13.856406,27.712813,-25.980762,8.660254,K
31.176915,12.124356,17.320508,27.712813,-43.30127,20.78461,-24.248711,10.392305,-17.320508,-39.837169,8.660254,-17.320508,19.052559,31.176915,-29.444864,6.928203,D
45.033321,24.248711,19.052559,41.569219,-57.157677,32.908965,-32.908965,13.856406,-25.980762,-53.693575,10.392305,-15.588457,13.856406,31.176915,-29.444864,10.392305,S
43.30127,20.78461,20.78461,45.033321,-64.08588,39.837169,-34.641016,13.856406,-27.712813,-50.229473,8.660254,-20.78461,19.052559,29.444864,-24.248711,15.588457,H
43.30127,10.392305,19.052559,45.033321,-36.373067,-8.660254,-20.78461,12.124356,-10.392305,-34.641016,12.124356,-10.392305,8.660254,41.569219,-46.765372,5.196152,E
25.980762,12.124356,12.124356,31.176915,-25.980762,17.320508,-27.712813,5.196152,-19.052559,-31.176915,0,-1.732051,13.856406,25.980762,-41.569219,3.464102,Z
38.105118,3.464102,24.248711,36.373067,-41.569219,8.660254,-22.51666,8.660254,-13.856406,-41.569219,12.124356,-22.51666,15.588457,31.176915,-31.176915,6.928203,O
38.105118,8.660254,36.373067,39.837169,-45.033321,5.196152,-19.052559,12.124356,-10.392305,-38.105118,13.856406,-19.052559,17.320508,39.837169,-38.105118,8.660254,Q
50.229473,8.660254,19.052559,39.837169,-51.961524,3.464102,-22.51666,15.588457,-13.856406,-51.961524,13.856406,-29.444864,20.78461,34.641016,-32.908965,5.196152,Q
22.51666,3.464102,15.588457,29.444864,-36.373067,-10.392305,-5.196152,8.660254,8.660254,-25.980762,10.392305,-17.320508,13.856406,31.176915,-22.51666,1.732051,L
12.124356,-5.196152,31.176915,31.176915,-17.320508,-1.732051,-15.588457,1.732051,-5.196152,-32.908965,5.196152,-12.124356,6.928203,22.51666,-43.30127,0,V
22.51666,5.196152,17.320508,32.908965,-20.78461,6.928203,-15.588457,3.464102,-5.196152,-22.51666,5.196152,-3.464102,17.320508,25.980762,-36.373067,1.732051,X
50.229473,17.320508,34.641016,46.765372,-65.817931,22.51666,-29.444864,13.856406,-25.980762,-48.497423,12.124356,-24.248711,19.052559,29.444864,-22.51666,20.78461,V
34.641016,19.052559,36.373067,38.105118,-58.889727,24.248711,-27.712813,12.124356,-34.641016,-48.497423,8.660254,-27.712813,17.320508,29.444864,-17.320508,19.052559,M
20.78461,12.124356,17.320508,25.980762,-29.444864,13.856406,-25.980762,6.928203,-20.78461,-39.837169,5.196152,-6.928203,6.928203,27.712813,-39.837169,5.196152,Y
25.980762,6.928203,17.320508,31.176915,-34.641016,20.78461,-24.248711,6.928203,-13.856406,-27.712813,0,-12.124356,22.51666,29.444864,-36.373067,5.196152,D
34.641016,15.588457,19.052559,39.837169,-50.229473,15.588457,-20.78461,10.392305,-8.660254,-41.569219,10.392305,-13.856406,13.856406,32.908965,-31.176915,8.660254,E
25.980762,8.660254,22.51666,29.444864,-39.837169,25.980762,-27.712813,8.660254,-24.248711,-34.641016,3.464102,-20.78461,32.908965,34.641016,-32.908965,6.928203,N
32.908965,17.320508,27.712813,38.105118,-46.765372,17.320508,-24.248711,12.124356,-15.588457,-43.30127,5.196152,-17.320508,25.980762,38.105118,-36.373067,3.464102,A
27.712813,1.732051,13.856406,27.712813,-29.444864,10.392305,-19.052559,5.196152,-10.392305,-27.712813,5.196152,-13.856406,15.588457,24.248711,-29.444864,5.196152,D
46.765372,20.78461,25.980762,34.641016,-43.30127,10.392305,-20.78461,10.392305,-13.856406,-39.837169,13.856406,-8.660254,20.78461,39.837169,-32.908965,6.928203,Z
19.052559,3.464102,29.444864,34.641016,-29.444864,5.196152,-25.980762,5.196152,-22.51666,-41.569219,3.464102,-19.052559,8.660254,29.444864,-41.569219,3.464102,N
36.373067,19.052559,25.980762,36.373067,-50.229473,8.660254,-20.78461,13.856406,-12.124356,-53.693575,13.856406,-19.052559,15.588457,39.837169,-36.373067,3.464102,X
31.176915,20.78461,34.641016,31.176915,-48.497423,12.124356,-27.712813,12.124356,-29.444864,-50.229473,8.660254,-17.320508,15.588457,36.373067,-36.373067,12.124356,F
25.980762,12.124356,34.641016,39.837169,-39.837169,-5.196152,-15.588457,6.928203,-10.392305,-43.30127,15.588457,-19.052559,20.78461,50.229473,-38.105118,3.464102,N
29.444864,-3.464102,13.856406,31.176915,-34.641016,-13.856406,-6.928203,12.124356,6.928203,-24.248711,13.856406,-22.51666,13.856406,25.980762,-22.51666,1.732051,L
22.51666,6.928203,25.980762,32.908965,-32.908965,15.588457,-27.712813,6.928203,-24.248711,-39.837169,3.464102,-17.320508,17.320508,27.712813,-38.105118,5.196152,N
20.78461,10.392305,13.856406,31.176915,-22.51666,13.856406,-24.248711,3.464102,-13.856406,-24.248711,-1.732051,0,15.588457,31.176915,-45.033321,1.732051,Z
31.176915,15.588457,24.248711,25.980762,-34.641016,12.124356,-25.980762,6.928203,-24.248711,-48.497423,1.732051,-12.124356,13.856406,25.980762,-36.373067,5.196152,Y
8.660254,-6.928203,20.78461,27.712813,-15.588457,3.464102,-12.124356,1.732051,1.732051,-12.124356,1.732051,-8.660254,15.588457,29.444864,-39.837169,0,I
36.373067,20.78461,45.033321,34.641016,-57.157677,6.928203,-29.444864,13.856406,-36.373067,-60.621778,15.588457,-27.712813,15.588457,43.30127,-34.641016,15.588457,W
19.052559,-5.196152,25.980762,34.641016,-22.51666,0,-17.320508,3.464102,-8.660254,-27.712813,6.928203,-15.588457,12.124356,27.712813,-39.837169,3.464102,U
34.641016,15.588457,27.712813,34.641016,-45.033321,12.124356,-22.51666,8.660254,-15.588457,-45.033321,5.196152,-19.052559,22.51666,43.30127,-39.837169,3.464102,O
19.052559,3.464102,17.320508,22.51666,-24.248711,12.124356,-25.980762,5.196152,-19.052559,-32.908965,6.928203,-10.392305,12.124356,31.176915,-41.569219,3.464102,T
34.641016,8.660254,22.51666,34.641016,-32.908965,10.392305,-24.248711,6.928203,-19.052559,-32.908965,3.464102,-12.124356,15.588457,25.980762,-32.908965,6.928203,O
43.30127,13.856406,38.105118,32.908965,-57.157677,17.320508,-24.248711,17.320508,-20.78461,-45.033321,19.052559,-24.248711,20.78461,34.641016,-27.712813,15.588457,P
19.052559,0,24.248711,32.908965,-22.51666,1.732051,-24.248711,3.464102,-13.856406,-27.712813,-1.732051,-10.392305,6.928203,34.641016,-51.961524,1.732051,C
32.908965,8.660254,29.444864,41.569219,-39.837169,1.732051,-24.248711,8.660254,-12.124356,-41.569219,1.732051,-15.588457,13.856406,38.105118,-50.229473,3.464102,G
43.30127,19.052559,34.641016,38.105118,-53.693575,13.856406,-22.51666,10.392305,-17.320508,-43.30127,10.392305,-15.588457,19.052559,32.908965,-27.712813,13.856406,B
27.712813,8.660254,25.980762,41.569219,-32.908965,1.732051,-19.052559,5.196152,-8.660254,-29.444864,5.196152,-8.660254,12.124356,34.641016,-39.837169,5.196152,K
32.908965,12.124356,38.105118,38.105118,-43.30127,6.928203,-32.908965,10.392305,-36.373067,-60.621778,8.660254,-25.980762,5.196152,31.176915,-41.569219,8.660254,W
20.78461,6.928203,27.712813,34.641016,-34.641016,3.464102,-13.856406,6.928203,-3.464102,-43.30127,19.052559,-13.856406,13.856406,34.641016,-34.641016,3.464102,V
22.51666,8.660254,39.837169,38.105118,-39.837169,6.928203,-22.51666,6.928203,-19.052559,-43.30127,13.856406,-19.052559,17.320508,38.105118,-36.373067,8.660254,W
48.497423,20.78461,25.980762,43.30127,-62.353829,13.856406,-22.51666,13.856406,-15.588457,-51.961524,13.856406,-22.51666,12.124356,32.908965,-22.51666,12.124356,H
